disease_name,url,symptoms
Nearsightedness,https://www.mayoclinic.org/diseases-conditions/nearsightedness/symptoms-causes/syc-20375556,"Nearsightedness symptoms may include:; Blurry vision when looking at distant objects.; The need to squint or partially close the eyelids to see clearly.; Headaches.; Eyestrain.; School-age children may have difficulty seeing things on whiteboards or screen projections in the classroom. Younger children might not express difficulty seeing, but they may have the following behaviors that suggest difficulty seeing:; Constant squinting.; Seeming to not be aware of distant objects.; Blinking often.; Rubbing the eyes often.; Sitting close to the television or moving screens closer to the face.; Adults with nearsightedness may notice difficulty reading street signs or signs in stores. Some people may experience blurry vision in dim light, as with nighttime driving, even if they see clearly in daylight. This condition is called night myopia."
Neck pain,https://www.mayoclinic.org/diseases-conditions/neck-pain/symptoms-causes/syc-20375581,"Symptoms include:; Pain that's often worsened by holding the head in one place for long periods, such as when driving or working at a computer; Muscle tightness and spasms; Decreased ability to move the head; Headache"
Nephrogenic systemic fibrosis,https://www.mayoclinic.org/diseases-conditions/nephrogenic-systemic-fibrosis/symptoms-causes/syc-20352299,"Nephrogenic systemic fibrosis can begin days to months, and even years, after exposure to an older gadolinium-based contrast agent (group 1). Some signs and symptoms of nephrogenic systemic fibrosis may include:; Swelling and tightening of the skin; Reddened or darkened patches on the skin; Thickening and hardening of the skin, typically on the arms and legs and sometimes on the body, but almost never on the face or head; Skin that may feel ""woody"" and develop an orange-peel appearance; Burning, itching or severe sharp pains in areas of involvement; Skin thickening that inhibits movement, resulting in loss of joint flexibility; Rarely, blisters or ulcers; In some people, involvement of muscles and body organs may cause:; Muscle weakness; Limitation of joint motion caused by muscle tightening (contractures) in arms, hands, legs and feet; Bone pain, particularly in the hip bones or ribs; Reduced internal organ function, including heart, lung, diaphragm, gastrointestinal tract or liver; Yellow plaques on the white surface (sclera) of the eyes; The condition is generally long term (chronic), but some people may improve. In a few people, it can cause severe disability, even death."
Nephrotic syndrome,https://www.mayoclinic.org/diseases-conditions/nephrotic-syndrome/symptoms-causes/syc-20375608,"Signs and symptoms of nephrotic syndrome include:; Severe swelling (edema), particularly around your eyes and in your ankles and feet; Foamy urine, a result of excess protein in your urine; Weight gain due to fluid retention; Fatigue; Loss of appetite"
Neuroblastoma,https://www.mayoclinic.org/diseases-conditions/neuroblastoma/symptoms-causes/syc-20351017,"Signs and symptoms of neuroblastoma may vary depending on what part of the body is affected. This cancer starts in immature nerve cells called neuroblasts. Neuroblasts are found in several areas of the body.; Neuroblastoma in the belly may cause symptoms such as:; Belly pain.; A lump under the skin that typically isn't tender when touched.; Diarrhea or constipation.; Neuroblastoma in the chest may cause symptoms such as:; Wheezing.; Difficulty breathing.; Changes to the eyes, including drooping eyelids and pupils that are different sizes.; Other symptoms that may indicate neuroblastoma include:; Lumps of tissue under the skin.; Eyeballs that seem to stick out from the sockets.; Dark circles around the eyes that look like bruises.; Back pain.; Fever.; Losing weight without trying.; Bone pain."
Neurodermatitis,https://www.mayoclinic.org/diseases-conditions/neurodermatitis/symptoms-causes/syc-20375634,"Symptoms of neurodermatitis include:; An itchy, scaly skin patch or patches; Open sores that bleed; Thick, leathery skin; Discolored, wrinkled genital skin; Raised, rough patches that are inflamed or darker than the rest of the skin; The condition involves areas that can be reached for scratching — the scalp, neck, wrists, forearms, ankles, vulva, scrotum and anus. The itchiness, which can be intense, may come and go or be nonstop. You may scratch your skin out of habit and while sleeping."
Neuroendocrine tumors,https://www.mayoclinic.org/diseases-conditions/neuroendocrine-tumors/symptoms-causes/syc-20354132,"Neuroendocrine tumors don't always cause signs and symptoms at first. The symptoms you might experience depend on the location of your tumor and whether it produces excess hormones.; In general, neuroendocrine tumor signs and symptoms might include:; Pain from a growing tumor; A growing lump you can feel under the skin; Feeling unusually tired; Losing weight without trying; Neuroendocrine tumors that produce excess hormones (functional tumors) might cause:; Skin flushing; Diarrhea; Frequent urination; Increased thirst; Dizziness; Shakiness; Skin rash"
Neurofibroma,https://www.mayoclinic.org/diseases-conditions/neurofibroma/symptoms-causes/syc-20573693,"A neurofibroma might cause no symptoms. If symptoms occur, they're usually mild. When a neurofibroma grows on or under the skin, symptoms may include:; A bump on the skin. The bump may be the color of your skin or pink or tan.; Pain.; Bleeding.; If a neurofibroma becomes large or presses against or grows on a nerve, symptoms may include:; Pain.; Tingling.; Numbness or weakness.; Change in appearance when a large neurofibroma is on the face.; Some people with neurofibromas have a genetic condition known as neurofibromatosis type 1 (NF1). A person with NF1 may have many neurofibromas. The number of neurofibromas increases with age.; A tumor that involves many nerves, known as a plexiform neurofibroma, can occur in a person with NF1. This type of neurofibroma can grow large and cause pain. It also can become cancerous."
Neurofibromatosis type 1,https://www.mayoclinic.org/diseases-conditions/neurofibromatosis-type-1/symptoms-causes/syc-20350490,"Neurofibromatosis type 1 (NF1) usually is diagnosed during childhood. Symptoms are seen at birth or shortly afterward and almost always by age 10. Symptoms tend to be mild to moderate, but they can vary from person to person.; Symptoms include:; Flat, light brown spots on the skin, known as cafe au lait spots. These harmless spots are common in many people. But having more than six cafe au lait spots suggests NF1. They often are present at birth or appear during the first years of life. After childhood, new spots stop appearing.; Freckling in the armpits or groin area. Freckling often appears by ages 3 to 5. Freckles are smaller than cafe au lait spots and tend to occur in clusters in skin folds.; Tiny bumps on the iris of the eye, known as Lisch nodules. These nodules can't easily be seen and don't affect vision.; Soft, pea-sized bumps on or under the skin called neurofibromas. These benign tumors usually grow in or under the skin but can also grow inside the body. A growth that involves many nerves is called a plexiform neurofibroma. Plexiform neurofibromas, when located on the face, can cause disfigurement. Neurofibromas may increase in number with age.; Bone changes. Changes in bone development and low bone mineral density can cause bones to form in an irregular way. People with NF1 may have a curved spine, known as scoliosis, or a bowed lower leg.; Tumor on the nerve that connects the eye to the brain, called an optic pathway glioma. This tumor usually appears by age 3. The tumor rarely appears in late childhood and among teenagers, and almost never in adults.; Learning disabilities. It's common for children with NF1 to have some trouble with learning. Often there is a specific learning disability, such as trouble with reading or math. Attention-deficit/hyperactivity disorder (ADHD) and speech delay also are common.; Larger than average head size. Children with NF1 tend to have a larger than average head size due to increased brain volume.; Short stature. Children who have NF1 often are below average in height."
Neuromyelitis optica,https://www.mayoclinic.org/diseases-conditions/neuromyelitis-optica/symptoms-causes/syc-20375652,"Symptoms of neuromyelitis optica are related to the inflammation that occurs in the nerves of the eye and spinal cord.; Vision changes caused by NMO are called optic neuritis. These may include:; Blurred vision or loss of vision in one or both eyes.; Not being able to see color.; Eye pain.; Symptoms related to the spinal cord are called transverse myelitis. These may include:; Stiffness, weakness or numbness in the legs and sometimes in the arms.; Loss of feeling in the arms or legs.; Not being able to empty the bladder or trouble managing bowel or bladder function.; A tingling feeling or shooting pain in the neck, back or stomach.; Other symptoms of NMO may include:; Hiccups.; Nausea and vomiting.; Children can have confusion, seizures or coma. However, these symptoms in children are more common in a related condition known as myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD).; Symptoms may get better and then worse again. When they get worse, it's known as a relapse. Relapses can happen after weeks, months or years. Over time, relapses can lead to total blindness or loss of feeling, known as paralysis."
Nickel allergy,https://www.mayoclinic.org/diseases-conditions/nickel-allergy/symptoms-causes/syc-20351529,"An allergic reaction (contact dermatitis) usually begins within hours to days after exposure to nickel. The reaction may last as long as 2 to 4 weeks. The reaction tends to occur only where your skin came into contact with nickel, but sometimes may appear in other places on your body.; Nickel allergy signs and symptoms include:; Rash or bumps on the skin; Itching, which may be severe; Redness or changes in skin color; Dry patches of skin that may resemble a burn; Blisters and draining fluid in severe cases"
Nicotine dependence,https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584,"Symptoms of nicotine dependence can include the following:; You can't stop smoking. You've made one or more serious attempts to stop without long-term success.; You smoke within 30 minutes of waking up. The sooner you start smoking after waking and the more cigarettes you smoke during the day, the more dependent on nicotine you are.; You have nicotine withdrawal symptoms when you try to stop. Your attempts at stopping have caused physical and mood-related symptoms. Withdrawal symptoms can include strong cravings, anxiety, irritable mood, restlessness, trouble focusing or sleeping, depression, frustration, anger, increased hunger, and constipation.; You keep smoking despite health conditions. Even though you've developed health conditions linked to smoking, you haven't been able to stop.; You give up social activities. You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations."
Niemann-Pick disease,https://www.mayoclinic.org/diseases-conditions/niemann-pick/symptoms-causes/syc-20355887,"The three main types of Niemann-Pick disease are called A, B and C. Symptoms differ widely but depend in part on the type and how severe the condition is. Symptoms may include:; Loss of muscle control, such as clumsiness and problems walking.; Muscle weakness and floppiness.; Stiff and awkward movements.; Vision problems, such as vision loss and eye movements that can't be controlled.; Hearing loss.; Being sensitive to touch.; Problems sleeping.; Problems swallowing and eating.; Slurred speech.; Problems with learning and memory that get worse.; Mental health conditions, such as depression, paranoia and behavior problems.; Liver and spleen that get too large.; Repeated infections that cause pneumonia.; Some infants with type A show symptoms within the first few months of life. Those with type B may not show symptoms for years and have a better chance of living to adulthood. People with type C can start to have symptoms at any age but may not have any symptoms until adulthood."
Nightmare disorder,https://www.mayoclinic.org/diseases-conditions/nightmare-disorder/symptoms-causes/syc-20353515,"You're more likely to have a nightmare in the second half of your night. Nightmares may occur rarely or more frequently, even several times a night. Episodes are generally brief, but they cause you to awaken, and returning to sleep can be difficult.; A nightmare may involve these features:; Your dream seems vivid and real and is very upsetting, often becoming more disturbing as the dream unfolds.; Your dream storyline is usually related to threats to safety or survival, but it can have other disturbing themes.; Your dream awakens you.; You feel scared, anxious, angry, sad or disgusted as a result of your dream.; You feel sweaty or have a pounding heartbeat while in bed.; You can think clearly upon awakening and can recall details of your dream.; Your dream causes distress that keeps you from falling back to sleep easily.; Nightmares are only considered a disorder if you experience:; Frequent occurrences; Major distress or impairment during the day, such as anxiety or persistent fear, or bedtime anxiety about having another nightmare; Problems with concentration or memory, or you can't stop thinking about images from your dreams; Daytime sleepiness, fatigue or low energy; Problems functioning at work or school or in social situations; Behavior problems related to bedtime or fear of the dark; Having a child with nightmare disorder can cause significant sleep disturbance and distress for parents or caregivers."
Non-Hodgkin lymphoma,https://www.mayoclinic.org/diseases-conditions/non-hodgkins-lymphoma/symptoms-causes/syc-20375680,"Signs and symptoms of non-Hodgkin lymphoma may include:; Swollen lymph nodes in the neck, armpits or groin.; Belly pain or swelling.; Chest pain, coughing or trouble breathing.; Feeling very tired.; Fever.; Night sweats.; Weight loss without trying."
Nonalcoholic fatty liver disease,https://www.mayoclinic.org/diseases-conditions/nonalcoholic-fatty-liver-disease/symptoms-causes/syc-20354567,
Nonallergic rhinitis,https://www.mayoclinic.org/diseases-conditions/nonallergic-rhinitis/symptoms-causes/syc-20351229,"Nonallergic rhinitis symptoms often come and go year-round. Your symptoms might include:; Stuffy or runny nose.; Sneezing.; Mucus in the throat.; Cough.; Nonallergic rhinitis most often doesn't cause an itchy nose, eyes or throat. That symptom is linked with allergies such as hay fever."
Nonmelanoma skin cancer,https://www.mayoclinic.org/diseases-conditions/nonmelanoma-skin-cancer/symptoms-causes/syc-20355397,"Symptoms of nonmelanoma skin cancer often develop on parts of the body that are exposed to the sun. Examples include the scalp, face, ears, neck, chest, arms and hands. But nonmelanoma skin cancer can happen on other parts of the body too. This includes the lips, fingers, fingernails and genital areas.; Nonmelanoma skin cancer symptoms appear as a change in the skin, including:; A new growth on the skin.; Changes to an existing skin spot, such as changes in shape or color.; Itching, pain, crusting or bleeding of a skin spot.; A sore that won't heal or one that keeps coming back."
Noonan syndrome,https://www.mayoclinic.org/diseases-conditions/noonan-syndrome/symptoms-causes/syc-20354422,Symptoms of Noonan syndrome vary greatly and range from mild to severe. These symptoms may be related to the specific gene containing the change.
Norovirus infection,https://www.mayoclinic.org/diseases-conditions/norovirus/symptoms-causes/syc-20355296,"Signs and symptoms of norovirus infection may start suddenly and include:; Nausea; Vomiting; Stomach pain or cramps; Watery or loose diarrhea; Feeling ill; Low-grade fever; Muscle pain; Signs and symptoms usually begin 12 to 48 hours after your first exposure to a norovirus and last 1 to 3 days. You can continue to shed virus in your stool for several weeks after recovery. This shedding can last weeks to months if you have another medical condition.; Some people with norovirus infection may show no signs or symptoms. However, they're still contagious and can spread the virus to others."
Obesity,https://www.mayoclinic.org/diseases-conditions/obesity/symptoms-causes/syc-20375742,"Body mass index, known as BMI, is often used to diagnose obesity. To calculate BMI , multiply weight in pounds by 703, divide by height in inches and then divide again by height in inches. Or divide weight in kilograms by height in meters squared. There are several online calculators available that help calculate BMI .; See BMI calculator; Asians with a BMI of 23 or higher may have an increased risk of health problems.; For most people, BMI provides a reasonable estimate of body fat. However, BMI doesn't directly measure body fat. Some people, such as muscular athletes, may have a BMI in the obesity category even though they don't have excess body fat.; Many health care professionals also measure around a person's waist to help guide treatment decisions. This measurement is called a waist circumference. Weight-related health problems are more common in men with a waist circumference over 40 inches (102 centimeters). They're more common in women with a waist measurement over 35 inches (89 centimeters). Body fat percentage is another measurement that may be used during a weight loss program to track progress."
Obsessive-compulsive disorder (OCD),https://www.mayoclinic.org/diseases-conditions/obsessive-compulsive-disorder/symptoms-causes/syc-20354432,"Obsessive-compulsive disorder usually includes both obsessions and compulsions. But it's also possible to have only obsession symptoms or only compulsion symptoms. You may or may not know that your obsessions and compulsions are beyond reason. But they take up a great deal of time, reduce your quality of life, and get in the way of your daily routines and responsibilities."
Obstructive sleep apnea,https://www.mayoclinic.org/diseases-conditions/obstructive-sleep-apnea/symptoms-causes/syc-20352090,"Symptoms of obstructive sleep apnea include:; Excessive daytime sleepiness.; Loud snoring.; Observed episodes of stopped breathing during sleep.; Waking during the night and gasping or choking.; Awakening in the morning with a dry mouth or sore throat.; Morning headaches.; Trouble focusing during the day.; Mood changes, such as depression or being easily upset.; High blood pressure.; Decreased interest in sex."
Occupational asthma,https://www.mayoclinic.org/diseases-conditions/occupational-asthma/symptoms-causes/syc-20375772,
Ocular rosacea,https://www.mayoclinic.org/diseases-conditions/ocular-rosacea/symptoms-causes/syc-20375798,"Signs and symptoms of ocular rosacea can precede the skin symptoms of rosacea, develop at the same time, develop later or occur on their own. Signs and symptoms of ocular rosacea may include:; Red, burning, itchy or watering eyes; Dry eyes; Grittiness or the feeling of having a foreign body in the eye or eyes; Blurred vision; Sensitivity to light (photophobia); Dilated small blood vessels on the white part of the eye that are visible when you look in a mirror; Red, swollen eyelids; Recurrent eye or eyelid infections, such as pink eye (conjunctivitis), blepharitis, sties or chalazia; The severity of ocular rosacea symptoms doesn't always match the severity of skin symptoms."
Oligodendroglioma,https://www.mayoclinic.org/diseases-conditions/oligodendroglioma/symptoms-causes/syc-20576736,Signs and symptoms of oligodendroglioma include:; Balance problems.; Changes in behavior.; Memory problems.; Numbness on one side of the body.; Problems speaking.; Problems thinking clearly.; Seizures.
Oppositional defiant disorder (ODD),https://www.mayoclinic.org/diseases-conditions/oppositional-defiant-disorder/symptoms-causes/syc-20375831,"Sometimes it's difficult to recognize the difference between a strong-willed or emotional child and one with oppositional defiant disorder. It's common for children to show oppositional behavior at certain stages of development.; Symptoms of ODD generally begin during preschool years. Sometimes ODD may develop later, but almost always before the early teen years. Oppositional and defiant behaviors are frequent and ongoing. They cause severe problems with relationships, social activities, school and work, for both the child and the family.; Emotional and behavioral symptoms of ODD generally last at least six months. They include angry and irritable mood, argumentative and defiant behavior, and hurtful and revengeful behavior.; Angry and irritable mood; Often and easily loses temper.; Is frequently touchy and easily annoyed by others.; Is often angry and resentful.; Argumentative and defiant behavior; Often argues with adults or people in authority.; Often actively defies or refuses to follow adults' requests or rules.; Often annoys or upsets people on purpose.; Often blames others for their own mistakes or misbehavior.; Hurtful and revengeful behavior; Says mean and hateful things when upset.; Tries to hurt the feelings of others and seeks revenge, also called being vindictive.; Has shown vindictive behavior at least twice in the past six months.; Severity; ODD can be mild, moderate or severe:; Mild. Symptoms occur only in one setting, such as only at home, school, work or with peers.; Moderate. Some symptoms occur in at least two settings.; Severe. Some symptoms occur in three or more settings.; For some children, symptoms may first be seen only at home. But with time, problem behavior also may happen in other settings, such as school, social activities and with friends."
Optic neuritis,https://www.mayoclinic.org/diseases-conditions/optic-neuritis/symptoms-causes/syc-20354953,"Optic neuritis usually affects one eye. Symptoms might include:; Pain. Most people who develop optic neuritis have eye pain that's worsened by eye movement. Sometimes the pain feels like a dull ache behind the eye.; Vision loss in one eye. Most people have at least some temporary reduction in vision, but the extent of loss varies. Noticeable vision loss usually develops over hours or days and improves over several weeks to months. Vision loss is permanent in some people.; Visual field loss. Side vision loss can occur in any pattern, such as central vision loss or peripheral vision loss.; Loss of color vision. Optic neuritis often affects color perception. You might notice that colors appear less vivid than normal.; Flashing lights. Some people with optic neuritis report seeing flashing or flickering lights with eye movements."
Oral lichen planus,https://www.mayoclinic.org/diseases-conditions/oral-lichen-planus/symptoms-causes/syc-20350869,Symptoms of oral lichen planus affect the mucous membranes of the mouth.
Oral thrush,https://www.mayoclinic.org/diseases-conditions/oral-thrush/symptoms-causes/syc-20353533,
Orchitis,https://www.mayoclinic.org/diseases-conditions/orchitis/symptoms-causes/syc-20375860,"Orchitis symptoms most often come on quickly. They can include:; Swelling in one or both testicles.; Pain ranging from mild to very bad.; Fever.; Nausea and vomiting.; Feeling ill, called malaise."
Orthostatic hypotension (postural hypotension),https://www.mayoclinic.org/diseases-conditions/orthostatic-hypotension/symptoms-causes/syc-20352548,The most common symptom of orthostatic hypotension is lightheadedness or dizziness when standing after sitting or lying down. Symptoms usually last less than a few minutes.; Orthostatic hypotension signs and symptoms include:; Lightheadedness or dizziness upon standing; Blurry vision; Weakness; Fainting (syncope); Confusion
Osteoarthritis,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,"Osteoarthritis symptoms often develop slowly and worsen over time. Symptoms of osteoarthritis include:; Pain. Affected joints might hurt during or after movement.; Stiffness. Joint stiffness might be most noticeable upon awakening or after being inactive.; Tenderness. Joints might feel tender when you apply light pressure to or near them.; Loss of flexibility. You might not be able to move your joint through its full range of motion.; Grating sensation. You might feel a grating sensation when you use the joint, and you might hear popping or crackling.; Bone spurs. These extra bits of bone, which feel like hard lumps, can form around the affected joint.; Swelling. This might be caused by soft tissue inflammation around the joint."
Osteochondritis dissecans,https://www.mayoclinic.org/diseases-conditions/osteochondritis-dissecans/symptoms-causes/syc-20375887,"Depending on the joint that's affected, signs and symptoms of osteochondritis dissecans might include:; Pain. This most common symptom of osteochondritis dissecans might be triggered by physical activity — walking up stairs, climbing a hill or playing sports.; Swelling and tenderness. The skin around your joint might be swollen and tender.; Joint popping or locking. Your joint might pop or stick in one position if a loose fragment gets caught between bones during movement.; Joint weakness. You might feel as though your joint is ""giving way"" or weakening.; Decreased range of motion. You might be unable to straighten the affected limb completely."
Osteomyelitis,https://www.mayoclinic.org/diseases-conditions/osteomyelitis/symptoms-causes/syc-20375913,"Symptoms of osteomyelitis may include:; Swelling, warmth and tenderness over the area of the infection.; Pain near the infection.; Tiredness.; Fever.; Sometimes osteomyelitis causes no symptoms. When it does cause symptoms, they can be like symptoms of other conditions. This may be especially true for infants, older adults and people who have weakened immune systems."
Osteoporosis,https://www.mayoclinic.org/diseases-conditions/osteoporosis/symptoms-causes/syc-20351968,"There typically are no symptoms in the early stages of bone loss. But once your bones have been weakened by osteoporosis, you might have signs and symptoms that include:; Back pain, caused by a broken or collapsed bone in the spine.; Loss of height over time.; A stooped posture.; A bone that breaks much more easily than expected."
Osteosarcoma,https://www.mayoclinic.org/diseases-conditions/osteosarcoma/symptoms-causes/syc-20351052,"Osteosarcoma signs and symptoms most often start in a bone. The cancer most often affects the long bones of the legs, and sometimes the arms. The most common symptoms include:; Bone or joint pain. Pain might come and go at first. It can be mistaken for growing pains.; Pain related to a bone that breaks for no clear reason.; Swelling near a bone."
Ovarian cancer,https://www.mayoclinic.org/diseases-conditions/ovarian-cancer/symptoms-causes/syc-20375941,
Ovarian cysts,https://www.mayoclinic.org/diseases-conditions/ovarian-cysts/symptoms-causes/syc-20353405,"Most ovarian cysts cause no symptoms and go away on their own. But a large ovarian cyst can cause:; Pelvic pain that may come and go. You may feel a dull ache or a sharp pain in the area below your bellybutton toward one side.; Fullness, pressure or heaviness in your belly (abdomen).; Bloating."
Ovarian hyperstimulation syndrome,https://www.mayoclinic.org/diseases-conditions/ovarian-hyperstimulation-syndrome-ohss/symptoms-causes/syc-20354697,"Symptoms of ovarian hyperstimulation syndrome often begin within a week after using injectable medications to stimulate ovulation, though sometimes it can take two weeks or longer for symptoms to appear. Symptoms can range from mild to severe and may worsen or improve over time."
Overactive bladder,https://www.mayoclinic.org/diseases-conditions/overactive-bladder/symptoms-causes/syc-20355715,"If you have an overactive bladder, you may:; Feel a sudden urge to urinate that's hard to control.; Lose urine without meaning to after an urgent need to urinate, called urgency incontinence.; Urinate often. This can mean eight or more times in 24 hours.; Wake up more than twice a night to urinate, called nocturia.; Even if you can get to the toilet in time when you feel an urge to urinate, having to urinate often during day and night can disrupt your life."
Paget's disease of bone,https://www.mayoclinic.org/diseases-conditions/pagets-disease-of-bone/symptoms-causes/syc-20350811,"Most people who have Paget's disease of bone have no symptoms. When symptoms occur, the most common complaint is bone pain.; Because this disease causes your body to generate new bone faster than normal, the rapid remodeling produces bone that's less organized and weaker than normal bone, which can lead to bone pain, deformities and fractures.; The disease might affect only one or two areas of your body or might be widespread. Your signs and symptoms, if any, will depend on the affected part of your body.; Pelvis. Paget's disease of bone in the pelvis can cause hip pain.; Skull. An overgrowth of bone in the skull can cause hearing loss or headaches.; Spine. If your spine is affected, nerve roots can become compressed. This can cause pain, tingling and numbness in an arm or leg.; Leg. As the bones weaken, they may bend — causing you to become bowlegged. Enlarged and misshapen bones in your legs can put extra stress on nearby joints, which may cause osteoarthritis in your knee or hip."
Paget's disease of the breast,https://www.mayoclinic.org/diseases-conditions/pagets-disease-of-the-breast/symptoms-causes/syc-20351079,"Paget's disease of the breast affects your nipple and usually the skin (areola) surrounding it. It's easy to mistake the signs and symptoms of Paget's disease of the breast for skin irritation (dermatitis) or another noncancerous (benign) skin condition.; Possible signs and symptoms of Paget's disease of the breast include:; Flaky or scaly skin on your nipple; Crusty, oozing or hardened skin resembling eczema on the nipple, areola or both; Itching; Redness; A tingling or burning sensation; Straw-colored or bloody nipple discharge; A flattened or turned-in (inverted) nipple; A lump in the breast; Thickening skin on the breast"
Painful intercourse (dyspareunia),https://www.mayoclinic.org/diseases-conditions/painful-intercourse/symptoms-causes/syc-20375967,"If you have painful intercourse, you might feel:; Pain only at sexual entry, called penetration.; Pain with every penetration, including putting in a tampon.; Deep pain during thrusting.; Burning pain or aching pain.; Throbbing pain lasting hours after sex."
Pancreatic cancer,https://www.mayoclinic.org/diseases-conditions/pancreatic-cancer/symptoms-causes/syc-20355421,"Pancreatic cancer often doesn't cause symptoms until the disease is advanced. When they happen, signs and symptoms of pancreatic cancer may include:; Belly pain that spreads to the sides or back.; Loss of appetite.; Weight loss.; Yellowing of the skin and the whites of the eyes, called jaundice.; Light-colored or floating stools.; Dark-colored urine.; Itching.; New diagnosis of diabetes or diabetes that's getting harder to control.; Pain and swelling in an arm or leg, which might be caused by a blood clot.; Tiredness or weakness."
Pancreatic cysts,https://www.mayoclinic.org/diseases-conditions/pancreatic-cysts/symptoms-causes/syc-20375993,"You may not have symptoms from pancreatic cysts, which are often found when imaging tests of the abdomen are done for another reason.; When signs or symptoms of pancreatic cysts do occur, they typically include:; Persistent abdominal pain, which may radiate to your back; Nausea and vomiting; Weight loss; Feeling full soon after you start eating"
Pancreatic neuroendocrine tumors,https://www.mayoclinic.org/diseases-conditions/pancreatic-neuroendocrine-tumors/symptoms-causes/syc-20352489,"Pancreatic neuroendocrine tumors sometimes don't cause symptoms. When they do, symptoms can include:; Heartburn.; Weakness.; Fatigue.; Muscle cramps.; Indigestion.; Diarrhea.; Weight loss.; Skin rash.; Constipation.; Pain in the abdomen or back.; Yellowing of the skin and the whites of the eyes.; Dizziness.; Blurred vision.; Headaches.; Increased thirst and hunger."
Pancreatitis,https://www.mayoclinic.org/diseases-conditions/pancreatitis/symptoms-causes/syc-20360227,"Symptoms of pancreatitis may vary. Acute pancreatitis symptoms may include:; Pain in the upper belly.; Pain in the upper belly that radiates to the back.; Tenderness when touching the belly.; Fever.; Rapid pulse.; Upset stomach.; Vomiting.; Chronic pancreatitis signs and symptoms include:; Pain in the upper belly.; Belly pain that feels worse after eating.; Losing weight without trying.; Oily, smelly stools.; Some people with chronic pancreatitis only develop symptoms after they get complications of the disease."
Panic attacks and panic disorder,https://www.mayoclinic.org/diseases-conditions/panic-attacks/symptoms-causes/syc-20376021,"Panic attacks typically begin suddenly, without warning. They can strike at any time — when you're driving a car, at the mall, sound asleep or in the middle of a business meeting. You may have occasional panic attacks, or they may occur frequently.; Panic attacks have many variations, but symptoms usually peak within minutes. You may feel fatigued and worn out after a panic attack subsides.; Panic attacks typically include some of these signs or symptoms:; Sense of impending doom or danger; Fear of loss of control or death; Rapid, pounding heart rate; Sweating; Trembling or shaking; Shortness of breath or tightness in your throat; Chills; Hot flashes; Nausea; Abdominal cramping; Chest pain; Headache; Dizziness, lightheadedness or faintness; Numbness or tingling sensation; Feeling of unreality or detachment; One of the worst things about panic attacks is the intense fear that you'll have another one. You may fear having panic attacks so much that you avoid certain situations where they may occur."
Paraganglioma,https://www.mayoclinic.org/diseases-conditions/paraganglioma/symptoms-causes/syc-20575682,"Paraganglioma symptoms may depend on where the tumor starts. Paragangliomas most often start in the head, neck, stomach area or pelvis.; Symptoms of a paraganglioma in the head or neck can include:; A rhythmic pulsing or whooshing sound in the ears, called pulsatile tinnitus.; Trouble swallowing.; Hoarse voice.; Hearing loss.; Blurred vision.; Dizziness.; Symptoms of a paraganglioma in the head and neck area might happen as the tumor grows larger. The tumor can press on nearby structures.; When paragangliomas form in other places in the body, the symptoms are more likely to be caused by hormones that the paraganglioma makes. The hormones, called catecholamines, play a role in how the body response to stress. They include adrenaline, also known as the fight-or-flight hormone.; Symptoms of paragangliomas that make hormones include:; High blood pressure.; Feelings of having a fast-beating, fluttering or pounding heart.; The sudden loss of color in the face.; Sweating.; Headache.; Uncontrolled shaking in the hands or arms.; General weakness.; These symptoms may come and go.; Some people with paragangliomas don't have any symptoms. They may learn they have these tumors when imaging tests done for other reasons happen to spot the tumors."
Paraneoplastic syndromes of the nervous system,https://www.mayoclinic.org/diseases-conditions/paraneoplastic-syndromes/symptoms-causes/syc-20355687,"Symptoms of paraneoplastic syndromes of the nervous system can develop relatively quickly, often over days to weeks. They often begin even before a cancer is diagnosed.; Symptoms vary depending on the body part being injured, and may include:; Trouble walking.; Trouble with balance.; Loss of muscle coordination.; Loss of muscle tone or weakness.; Loss of fine motor skills, such as picking up objects.; Trouble swallowing.; Slurred speech or stuttering.; Memory loss and other thinking impairment.; Vision changes.; Trouble sleeping.; Seizures.; Hallucinations.; Movements that can't be controlled."
